fam,p,mult,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
stretch_SMA_ATR,20,2.5,60,0.9,0.5263,2496,0.5325,0.5128,2688.44,0.5983,1155,0.5359,0.5071,500.85,0.436,FAIL
stretch_SMA_ATR,20,2.5,15,0.9,0.5263,2496,0.5421,0.5225,2657.33,0.5566,1155,0.5325,0.5036,759.24,0.2456,FAIL
keltner_EMA_ATR,20,2.5,15,0.9,0.5263,1558,0.5481,0.5233,2223.17,0.2222,710,0.5718,0.5351,1019.84,0.3028,PASS
keltner_EMA_ATR,20,2.0,30,0.87,0.5348,3000,0.5403,0.5225,2192.19,0.5029,1360,0.5353,0.5087,-111.1,0.5168,FAIL
stretch_SMA_ATR,20,2.5,30,0.87,0.5348,2496,0.5345,0.5148,2176.38,0.6219,1155,0.5385,0.5097,844.37,0.3554,FAIL
keltner_EMA_ATR,50,1.5,15,0.9,0.5263,11858,0.5347,0.5257,1882.23,0.6082,5049,0.5352,0.5214,180.09,0.6413,FAIL
stretch_SMA_ATR,50,2.0,15,0.9,0.5263,10315,0.5351,0.5255,1791.95,0.5626,4266,0.5352,0.5202,276.6,0.612,FAIL
stretch_SMA_ATR,50,2.0,30,0.87,0.5348,10316,0.5336,0.524,1665.74,0.6683,4269,0.5275,0.5125,-376.4,0.6747,FAIL
keltner_EMA_ATR,20,2.0,60,0.87,0.5348,3000,0.539,0.5211,1606.02,0.4176,1361,0.5459,0.5194,886.41,0.4191,FAIL
keltner_EMA_ATR,20,2.0,15,0.87,0.5348,3000,0.551,0.5331,1562.62,0.4933,1361,0.5283,0.5017,-256.58,0.4514,FAIL
keltner_EMA_ATR,50,2.0,15,0.87,0.5348,8464,0.5405,0.5299,1418.94,0.7039,3656,0.5429,0.5268,197.01,0.5225,FAIL
stretch_SMA_ATR,20,2.5,60,0.87,0.5348,2496,0.5325,0.5128,1244.05,0.6002,1155,0.5359,0.5071,283.25,0.4122,FAIL
stretch_SMA_ATR,50,2.5,15,0.9,0.5263,7642,0.5378,0.5266,1236.53,0.8046,3150,0.5368,0.5194,714.75,0.544,FAIL
keltner_EMA_ATR,20,2.5,15,0.87,0.5348,1558,0.5481,0.5233,1200.13,0.2176,710,0.5718,0.5351,546.5,0.3036,PASS
keltner_EMA_ATR,50,2.5,30,0.87,0.5348,5807,0.5328,0.52,1060.55,0.65,2526,0.5226,0.5031,-370.29,0.6861,FAIL
stretch_SMA_ATR,20,2.5,15,0.87,0.5348,2496,0.5421,0.5225,1033.31,0.5642,1155,0.5325,0.5036,465.58,0.2534,FAIL
keltner_EMA_ATR,20,2.5,60,0.9,0.5263,1558,0.5231,0.4983,972.65,0.2493,710,0.5423,0.5055,172.3,0.4019,FAIL
stretch_SMA_ATR,20,1.5,15,0.87,0.5348,7264,0.5482,0.5367,503.67,0.469,3349,0.5431,0.5262,885.39,0.358,FAIL
keltner_EMA_ATR,200,2.0,60,0.87,0.5348,16880,0.5153,0.5078,419.39,0.8852,7180,0.5177,0.5061,663.18,0.5849,FAIL
keltner_EMA_ATR,20,2.5,60,0.87,0.5348,1558,0.5231,0.4983,373.58,0.2429,710,0.5423,0.5055,-69.1,0.455,FAIL
keltner_EMA_ATR,50,2.5,15,0.87,0.5348,5807,0.5352,0.5224,245.99,0.7621,2525,0.535,0.5156,-273.65,0.6642,FAIL
keltner_EMA_ATR,20,2.5,30,0.9,0.5263,1558,0.5193,0.4944,82.43,0.3582,710,0.5549,0.5182,42.85,0.4407,FAIL
stretch_SMA_ATR,200,2.5,60,0.87,0.5348,16266,0.5141,0.5064,62.17,0.9132,7044,0.515,0.5034,-323.02,0.7791,FAIL
keltner_EMA_ATR,20,2.5,30,0.87,0.5348,1558,0.5193,0.4944,-218.29,0.4373,710,0.5549,0.5182,-93.48,0.4711,FAIL
stretch_SMA_ATR,50,1.5,15,0.9,0.5263,13496,0.5302,0.5217,-272.14,0.8143,5625,0.534,0.521,132.69,0.7229,FAIL
stretch_SMA_ATR,50,2.5,15,0.87,0.5348,7642,0.5378,0.5266,-334.67,0.8338,3150,0.5368,0.5194,-73.97,0.6247,FAIL
stretch_SMA_ATR,50,1.5,30,0.87,0.5348,13498,0.53,0.5216,-372.17,0.8587,5629,0.529,0.516,784.65,0.5233,FAIL
stretch_SMA_ATR,50,2.0,15,0.87,0.5348,10315,0.5351,0.5255,-578.83,0.7221,4266,0.5352,0.5202,-397.6,0.7211,FAIL
keltner_EMA_ATR,50,1.5,15,0.87,0.5348,11858,0.5347,0.5257,-662.94,0.7763,5049,0.5352,0.5214,-499.81,0.777,FAIL
keltner_EMA_ATR,200,2.5,30,0.9,0.5263,15066,0.5173,0.5093,-897.78,0.9867,6444,0.5054,0.4932,-898.72,0.9065,FAIL
stretch_SMA_ATR,50,1.5,15,0.87,0.5348,13496,0.5302,0.5217,-941.36,0.9494,5625,0.534,0.521,-492.65,0.7744,FAIL
