tag,rsi_per,ob,os_,macro_ema,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
RSI14 35/65 noMacro exp30m,14,65,35,None,30,0.87,0.5348,1679,0.5468,0.5229,794.57,0.3922,764,0.4921,0.4568,-255.74,0.3768,FAIL
RSI14 30/70 noMacro exp60m,14,70,30,None,60,0.9,0.5263,750,0.5613,0.5256,775.08,0.2884,313,0.5112,0.456,-117.72,0.312,FAIL
RSI21 35/65 noMacro exp30m,21,65,35,None,30,0.87,0.5348,1116,0.5439,0.5146,737.11,0.2325,466,0.5064,0.4612,-382.3,0.3874,FAIL
RSI7 25/75 EMA50 exp15m,7,75,25,50,15,0.9,0.5263,242,0.5992,0.5363,729.32,0.1421,120,0.5,0.4119,-126.03,0.1278,FAIL
RSI14 35/65 noMacro exp15m,14,65,35,None,15,0.87,0.5348,1679,0.5491,0.5253,656.34,0.4505,764,0.4987,0.4633,-287.37,0.357,FAIL
RSI7 20/80 noMacro exp15m,7,80,20,None,15,0.87,0.5348,423,0.5839,0.5364,633.56,0.2197,200,0.48,0.4118,-76.54,0.1168,FAIL
RSI21 35/65 noMacro exp15m,21,65,35,None,15,0.87,0.5348,1116,0.5394,0.5101,629.46,0.2458,466,0.5086,0.4633,-284.11,0.3218,FAIL
RSI7 20/80 noMacro exp30m,7,80,20,None,30,0.9,0.5263,423,0.5697,0.5221,611.81,0.1888,200,0.505,0.4363,-73.22,0.1309,FAIL
RSI7 30/70 EMA50 exp30m,7,70,30,50,30,0.87,0.5348,515,0.5748,0.5317,605.09,0.1941,235,0.5149,0.4513,-130.01,0.2091,FAIL
RSI7 25/75 EMA50 exp15m,7,75,25,50,15,0.87,0.5348,242,0.5992,0.5363,570.54,0.1446,120,0.5,0.4119,-97.56,0.1022,FAIL
RSI10 35/65 EMA50 exp60m,10,65,35,50,60,0.9,0.5263,656,0.5549,0.5166,568.79,0.2328,284,0.4965,0.4388,-238.23,0.246,FAIL
RSI10 35/65 EMA50 exp30m,10,65,35,50,30,0.9,0.5263,657,0.5586,0.5204,564.16,0.1704,284,0.5141,0.4562,15.51,0.1733,FAIL
RSI10 30/70 EMA50 exp15m,10,70,30,50,15,0.9,0.5263,291,0.5808,0.5234,553.8,0.14,133,0.4737,0.3908,-105.66,0.1106,FAIL
RSI14 30/70 noMacro exp15m,14,70,30,None,15,0.87,0.5348,750,0.5573,0.5216,517.33,0.2156,313,0.5144,0.4592,-235.34,0.2719,FAIL
RSI14 35/65 EMA50 exp15m,14,65,35,50,15,0.9,0.5263,409,0.5623,0.5139,487.58,0.1525,178,0.4831,0.4109,-50.79,0.1359,FAIL
RSI14 30/70 noMacro exp60m,14,70,30,None,60,0.87,0.5348,750,0.5613,0.5256,486.95,0.2876,313,0.5112,0.456,-119.47,0.2701,FAIL
RSI7 20/80 noMacro exp30m,7,80,20,None,30,0.87,0.5348,423,0.5697,0.5221,426.53,0.187,200,0.505,0.4363,-110.58,0.1259,FAIL
RSI10 25/75 noMacro exp15m,10,75,25,None,15,0.9,0.5263,520,0.5712,0.5282,395.97,0.2333,230,0.5087,0.4445,-179.49,0.2224,FAIL
RSI10 35/65 EMA50 exp60m,10,65,35,50,60,0.87,0.5348,656,0.5549,0.5166,392.34,0.228,284,0.4965,0.4388,-242.57,0.2443,FAIL
RSI7 25/75 noMacro exp60m,7,75,25,None,60,0.9,0.5263,898,0.5479,0.5152,390.87,0.3351,409,0.5134,0.4651,39.39,0.2834,FAIL
RSI10 30/70 EMA50 exp15m,10,70,30,50,15,0.87,0.5348,291,0.5808,0.5234,381.29,0.1344,133,0.4737,0.3908,-85.26,0.0936,FAIL
RSI10 25/75 noMacro exp60m,10,75,25,None,60,0.9,0.5263,520,0.5385,0.4955,338.19,0.1974,230,0.5261,0.4617,-34.88,0.2151,FAIL
RSI7 25/75 EMA50 exp30m,7,75,25,50,30,0.9,0.5263,242,0.5702,0.5073,334.93,0.2254,120,0.5083,0.42,-93.45,0.1441,FAIL
RSI14 35/65 EMA50 exp30m,14,65,35,50,30,0.9,0.5263,409,0.5428,0.4943,319.83,0.1835,178,0.5,0.4273,-77.38,0.1967,FAIL
RSI14 35/65 EMA50 exp15m,14,65,35,50,15,0.87,0.5348,409,0.5623,0.5139,312.77,0.1586,178,0.4831,0.4109,-48.68,0.1222,FAIL
RSI14 35/65 EMA50 exp30m,14,65,35,50,30,0.87,0.5348,409,0.5428,0.4943,275.26,0.1647,178,0.5,0.4273,-110.89,0.2101,FAIL
RSI10 35/65 EMA50 exp30m,10,65,35,50,30,0.87,0.5348,657,0.5586,0.5204,257.26,0.1937,284,0.5141,0.4562,-42.3,0.1745,FAIL
RSI7 25/75 EMA50 exp30m,7,75,25,50,30,0.87,0.5348,242,0.5702,0.5073,256.77,0.219,120,0.5083,0.42,-76.06,0.1067,FAIL
RSI7 35/65 EMA50 exp30m,7,65,35,50,30,0.9,0.5263,985,0.5431,0.5119,224.66,0.2731,390,0.5077,0.4582,-23.97,0.1877,FAIL
RSI21 30/70 noMacro exp60m,21,70,30,None,60,0.9,0.5263,371,0.5391,0.4882,216.47,0.1971,153,0.5294,0.4506,-34.0,0.1538,FAIL
RSI21 25/75 noMacro exp60m,21,75,25,None,60,0.9,0.5263,99,0.596,0.4975,196.73,0.1259,45,0.5556,0.4118,11.8,0.0752,FAIL
RSI10 25/75 noMacro exp60m,10,75,25,None,60,0.87,0.5348,520,0.5385,0.4955,184.31,0.2079,230,0.5261,0.4617,-54.96,0.2096,FAIL
RSI7 30/70 EMA50 exp60m,7,70,30,50,60,0.9,0.5263,514,0.5545,0.5113,117.88,0.2201,235,0.5021,0.4387,-236.25,0.2662,FAIL
RSI21 30/70 noMacro exp60m,21,70,30,None,60,0.87,0.5348,371,0.5391,0.4882,117.86,0.173,153,0.5294,0.4506,-44.9,0.1333,FAIL
RSI10 25/75 noMacro exp15m,10,75,25,None,15,0.87,0.5348,520,0.5712,0.5282,111.43,0.2446,230,0.5087,0.4445,-186.06,0.2035,FAIL
RSI21 25/75 noMacro exp60m,21,75,25,None,60,0.87,0.5348,99,0.596,0.4975,101.58,0.1193,45,0.5556,0.4118,-15.45,0.0831,FAIL
RSI21 20/80 noMacro exp30m,21,80,20,None,30,0.9,0.5263,16,0.6875,0.444,99.91,0.0633,13,0.5385,0.2914,-8.49,0.0776,FAIL
RSI21 20/80 noMacro exp60m,21,80,20,None,60,0.9,0.5263,16,0.6875,0.444,94.33,0.061,13,0.5385,0.2914,-4.0,0.061,FAIL
RSI21 20/80 noMacro exp30m,21,80,20,None,30,0.87,0.5348,16,0.6875,0.444,92.78,0.0644,13,0.5385,0.2914,-19.6,0.0755,FAIL
RSI14 25/75 noMacro exp15m,14,75,25,None,15,0.9,0.5263,279,0.5269,0.4683,91.75,0.2215,112,0.5179,0.4263,-102.08,0.1336,FAIL
RSI21 20/80 noMacro exp60m,21,80,20,None,60,0.87,0.5348,16,0.6875,0.444,81.32,0.0616,13,0.5385,0.2914,-13.96,0.0616,FAIL
RSI7 20/80 EMA50 exp15m,7,80,20,50,15,0.9,0.5263,99,0.5556,0.4574,76.9,0.0763,46,0.5,0.3612,-50.06,0.0563,FAIL
RSI10 30/70 EMA50 exp30m,10,70,30,50,30,0.9,0.5263,291,0.5464,0.489,74.23,0.2308,133,0.5038,0.4199,-120.81,0.2049,FAIL
RSI7 25/75 noMacro exp60m,7,75,25,None,60,0.87,0.5348,898,0.5479,0.5152,73.08,0.3528,409,0.5134,0.4651,3.09,0.2468,FAIL
RSI21 35/65 EMA50 exp60m,21,65,35,50,60,0.9,0.5263,210,0.5476,0.48,71.68,0.176,82,0.5366,0.4294,-32.56,0.0971,FAIL
RSI10 20/80 noMacro exp15m,10,80,20,None,15,0.9,0.5263,188,0.5053,0.4345,58.25,0.1808,85,0.5412,0.4358,-92.39,0.1712,FAIL
RSI7 20/80 EMA50 exp15m,7,80,20,50,15,0.87,0.5348,99,0.5556,0.4574,45.23,0.0845,46,0.5,0.3612,-45.4,0.0514,FAIL
